No.,Voter Last Name,Voter First Name,Affiliation,1st Place (10 Points),2nd Place (7 Points),3rd Place (5 Points),4th Place (3 Points),5th Place (1 Point)
86,Lalime,Patrick,TVA,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Kyle Connor, Winnipeg Jets","Yanni Gourde, Tampa Bay Lightning","Pierre-Luc Dubois, Columbus Blue Jackets"
87,Larkin,Matt,The Hockey News,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes","Kyle Connor, Winnipeg Jets","Charlie McAvoy, Boston Bruins"
88,Lavoie,Renaud,TVA,"Mathew Barzal, New York Islanders","Yanni Gourde, Tampa Bay Lightning","Clayton Keller, Arizona Coyotes","Kyle Connor, Winnipeg Jets","Brock Boeser, Vancouver Canucks"
89,Lazerus,Mark,Chicago Sun-Times,"Mathew Barzal, New York Islanders","Charlie McAvoy, Boston Bruins","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes","Kyle Connor, Winnipeg Jets"
90,Leahy,Sean,NBC Sports,"Mathew Barzal, New York Islanders","Charlie McAvoy, Boston Bruins","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes","Yanni Gourde, Tampa Bay Lightning"
91,LeBrun,Pierre,The Athletic,"Mathew Barzal, New York Islanders","Charlie McAvoy, Boston Bruins","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes","Kyle Connor, Winnipeg Jets"
92,Lefrancois,Guillaume,La Presse,"Mathew Barzal, New York Islanders","Yanni Gourde, Tampa Bay Lightning","Charlie McAvoy, Boston Bruins","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes"
93,Loftus,Mike,Patriot Ledger,"Mathew Barzal, New York Islanders","Yanni Gourde, Tampa Bay Lightning","Clayton Keller, Arizona Coyotes","Kyle Connor, Winnipeg Jets","Charlie McAvoy, Boston Bruins"
94,Lukan,Alison,The Athletic,"Mathew Barzal, New York Islanders","Nico Hischier, New Jersey Devils","Charlie McAvoy, Boston Bruins","Yanni Gourde, Tampa Bay Lightning","Pierre-Luc Dubois, Columbus Blue Jackets"
95,MacGregor,Roy,The Globe and Mail,"Brock Boeser, Vancouver Canucks","Mathew Barzal, New York Islanders","Nico Hischier, New Jersey Devils","Kyle Connor, Winnipeg Jets","Clayton Keller, Arizona Coyotes"
96,MacIntyre,Iain,Sportsnet,"Mathew Barzal, New York Islanders","Charlie McAvoy, Boston Bruins","Brock Boeser, Vancouver Canucks","Kyle Connor, Winnipeg Jets","Clayton Keller, Arizona Coyotes"
97,Mackey,Jason,Pittsburgh Post-Gazette,"Mathew Barzal, New York Islanders","Charlie McAvoy, Boston Bruins","Brock Boeser, Vancouver Canucks","Yanni Gourde, Tampa Bay Lightning","Pierre-Luc Dubois, Columbus Blue Jackets"
98,Masters,Mark,TSN,"Mathew Barzal, New York Islanders","Charlie McAvoy, Boston Bruins","Brock Boeser, Vancouver Canucks","Yanni Gourde, Tampa Bay Lightning","Pierre-Luc Dubois, Columbus Blue Jackets"
99,Matheson,Jim,Edmonton Journal,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Charlie McAvoy, Boston Bruins","Kyle Connor, Winnipeg Jets","Clayton Keller, Arizona Coyotes"
100,Matsuda,Gann,Frozen Royalty,"Yanni Gourde, Tampa Bay Lightning","Mathew Barzal, New York Islanders","Kyle Connor, Winnipeg Jets","Nico Hischier, New Jersey Devils","Clayton Keller, Arizona Coyotes"
101,McDonald,Joe,Boston Sports Journal,"Mathew Barzal, New York Islanders","Clayton Keller, Arizona Coyotes","Brock Boeser, Vancouver Canucks","Charlie McAvoy, Boston Bruins","Yanni Gourde, Tampa Bay Lightning"
102,McGran,Kevin,Toronto Star,"Mathew Barzal, New York Islanders","Clayton Keller, Arizona Coyotes","Charlie McAvoy, Boston Bruins","Kyle Connor, Winnipeg Jets","Yanni Gourde, Tampa Bay Lightning"
103,McGuire,Pierre,NBCSN,"Mathew Barzal, New York Islanders","Clayton Keller, Arizona Coyotes","Kyle Connor, Winnipeg Jets","Brock Boeser, Vancouver Canucks","Nico Hischier, New Jersey Devils"
104,McIndoe,Sean,Sportsnet,"Mathew Barzal, New York Islanders","Charlie McAvoy, Boston Bruins","Brock Boeser, Vancouver Canucks","Kyle Connor, Winnipeg Jets","Clayton Keller, Arizona Coyotes"
105,McIntyre,Mike,Winnipeg Free Press,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Kyle Connor, Winnipeg Jets","Yanni Gourde, Tampa Bay Lightning","Clayton Keller, Arizona Coyotes"
106,McKenzie,Bob,TSN,"Mathew Barzal, New York Islanders","Charlie McAvoy, Boston Bruins","Brock Boeser, Vancouver Canucks","Kyle Connor, Winnipeg Jets","Yanni Gourde, Tampa Bay Lightning"
107,McKeon,Ross,San Francisco Chronicle,"Mathew Barzal, New York Islanders","Nico Hischier, New Jersey Devils","Kyle Connor, Winnipeg Jets","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes"
108,McLellan,Sarah,Minneapolis Star Tribune,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Charlie McAvoy, Boston Bruins","Kyle Connor, Winnipeg Jets","Clayton Keller, Arizona Coyotes"
109,Miller,Chris,Minneapolis Star Tribune,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Charlie McAvoy, Boston Bruins","Clayton Keller, Arizona Coyotes","Will Butcher, New Jersey Devils"
110,Miller,Gord,TSN,"Mathew Barzal, New York Islanders","Kyle Connor, Winnipeg Jets","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes","Charlie McAvoy, Boston Bruins"
111,Mirtle,James,The Athletic,"Mathew Barzal, New York Islanders","Charlie McAvoy, Boston Bruins","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes","Kyle Connor, Winnipeg Jets"
112,Morganti,Al,NBC Sports Philadelphia,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes","Charlie McAvoy, Boston Bruins","Kyle Connor, Winnipeg Jets"
113,Morin,Richard,Arizona Republic,"Mathew Barzal, New York Islanders","Clayton Keller, Arizona Coyotes","Yanni Gourde, Tampa Bay Lightning","Charlie McAvoy, Boston Bruins","Brock Boeser, Vancouver Canucks"
114,Morrison,Scott,Sportsnet,"Mathew Barzal, New York Islanders","Charlie McAvoy, Boston Bruins","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes","Kyle Connor, Winnipeg Jets"
115,Oake,Scott,HNIC,"Mathew Barzal, New York Islanders","Kyle Connor, Winnipeg Jets","Brock Boeser, Vancouver Canucks","Pierre-Luc Dubois, Columbus Blue Jackets","Yanni Gourde, Tampa Bay Lightning"
116,O'Connor,Charlie,The Athletic,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Will Butcher, New Jersey Devils","Charlie McAvoy, Boston Bruins","Clayton Keller, Arizona Coyotes"
117,Parent,Rob,Delaware County Daily Times,"Mathew Barzal, New York Islanders","Kyle Connor, Winnipeg Jets","Yanni Gourde, Tampa Bay Lightning","Clayton Keller, Arizona Coyotes","Nico Hischier, New Jersey Devils"
118,Pashelka,Curtis,San Jose Mercury News,"Mathew Barzal, New York Islanders","Mikhail Sergachev, Tampa Bay Lightning","Clayton Keller, Arizona Coyotes","Alex DeBrincat, Chicago Blackhawks","Brock Boeser, Vancouver Canucks"
119,Peng,Sheng,HockeyBuzz,"Mathew Barzal, New York Islanders","Clayton Keller, Arizona Coyotes","Yanni Gourde, Tampa Bay Lightning","Brock Boeser, Vancouver Canucks","Charlie McAvoy, Boston Bruins"
120,Peters,Chris,ESPN,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Charlie McAvoy, Boston Bruins","Clayton Keller, Arizona Coyotes","Kyle Connor, Winnipeg Jets"
121,Portzline,Aaron,The Athletic,"Mathew Barzal, New York Islanders","Brock Boeser, Vancouver Canucks","Clayton Keller, Arizona Coyotes","Pierre-Luc Dubois, Columbus Blue Jackets","Kyle Connor, Winnipeg Jets"
