No.,Voter Last Name,Voter First Name,Affiliation,1st Place (10 Points),2nd Place (7 Points),3rd Place (5 Points),4th Place (3 Points),5th Place (1 Point)
95,MacGregor,Roy,The Globe and Mail,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings",Evgeni Malkin. Pittsburgh Penguins
96,MacIntyre,Iain,Sportsnet,"Anze Kopitar, Los Angeles Kings","Nathan MacKinnon, Colorado Avalanche","Connor McDavid, Edmonton Oilers","Claude Giroux, Philadelphia Flyers","Taylor Hall, New Jersey Devils"
97,Mackey,Jason,Pittsburgh Post-Gazette,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils",Evgeni Malkin. Pittsburgh Penguins,"Anze Kopitar, Los Angeles Kings","Alex Ovechkin, Washington Capitals"
98,Masters,Mark,TSN,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Connor McDavid, Edmonton Oilers","Claude Giroux, Philadelphia Flyers"
99,Matheson,Jim,Edmonton Journal,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Connor McDavid, Edmonton Oilers","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers"
100,Matsuda,Gann,Frozen Royalty,"Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","William Karlsson, Vegas Golden Knights","Nikita Kucherov, Tampa Bay Lightning","Nathan MacKinnon, Colorado Avalanche"
101,McDonald,Joe,Boston Sports Journal,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers","Blake Wheeler, Winnipeg Jets","Patrice Bergeron, Boston Bruins"
102,McGran,Kevin,Toronto Star,"Connor McDavid, Edmonton Oilers","Blake Wheeler, Winnipeg Jets","Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Nikita Kucherov, Tampa Bay Lightning"
103,McGuire,Pierre,NBCSN,"Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers","Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings",Evgeni Malkin. Pittsburgh Penguins
104,McIndoe,Sean,Sportsnet,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Connor McDavid, Edmonton Oilers","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers"
105,McIntyre,Mike,Winnipeg Free Press,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Connor McDavid, Edmonton Oilers",Evgeni Malkin. Pittsburgh Penguins,"Claude Giroux, Philadelphia Flyers"
106,McKenzie,Bob,TSN,"Taylor Hall, New Jersey Devils","Nathan MacKinnon, Colorado Avalanche","Connor McDavid, Edmonton Oilers","Claude Giroux, Philadelphia Flyers","Anze Kopitar, Los Angeles Kings"
107,McKeon,Ross,San Francisco Chronicle,"Anze Kopitar, Los Angeles Kings","Nikita Kucherov, Tampa Bay Lightning","Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers","Connor McDavid, Edmonton Oilers"
108,McLellan,Sarah,Minneapolis Star Tribune,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Blake Wheeler, Winnipeg Jets"
109,Miller,Chris,Minneapolis Star Tribune,"Nathan MacKinnon, Colorado Avalanche","Nikita Kucherov, Tampa Bay Lightning","Taylor Hall, New Jersey Devils","Connor McDavid, Edmonton Oilers","Blake Wheeler, Winnipeg Jets"
110,Miller,Gord,TSN,"Taylor Hall, New Jersey Devils","Claude Giroux, Philadelphia Flyers","Nathan MacKinnon, Colorado Avalanche","Anze Kopitar, Los Angeles Kings","Connor McDavid, Edmonton Oilers"
111,Mirtle,James,The Athletic,"Nathan MacKinnon, Colorado Avalanche","Taylor Hall, New Jersey Devils","Connor McDavid, Edmonton Oilers","Anze Kopitar, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning"
