No.,Voter Last Name,Voter First Name,Affiliation,1st Place (10 Points),2nd Place (7 Points),3rd Place (5 Points),4th Place (3 Points),5th Place (1 Point)
108,McLellan,Sarah,Minneapolis Star Tribune,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","John Carlson, W ashington Capitals","Seth Jones, Columbus Blue Jackets"
109,Miller,Chris,Minneapolis Star Tribune,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","John Klingberg, Dallas Stars","PK Subban, Nashville Predators","John Carlson, W ashington Capitals"
110,Miller,Gord,TSN,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets","PK Subban, Nashville Predators","John Carlson, W ashington Capitals"
111,Mirtle,James,The Athletic,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","Alex Pietrangelo, St. Louis. Blues","Seth Jones, Columbus Blue Jackets"
112,Morganti,Al,NBC Sports Philadelphia,"Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators","Drew Doughty, Los Angeles Kings","John Carlson, W ashington Capitals","Seth Jones, Columbus Blue Jackets"
113,Morin,Richard,Arizona Republic,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","John Klingberg, Dallas Stars","Seth Jones, Columbus Blue Jackets","Shayne Gostisbehere, Philadelphia Flyers"
114,Morrison,Scott,Sportsnet,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","Seth Jones, Columbus Blue Jackets","PK Subban, Nashville Predators","John Carlson, W ashington Capitals"
115,Oake,Scott,HNIC,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","Seth Jones, Columbus Blue Jackets","John Klingberg, Dallas Stars"
116,O'Connor,Charlie,The Athletic,"John Klingberg, Dallas Stars","Victor Hedman, Tampa Bay Lightning","Mark Giordano, Calgary Flames","Josh Manson, Anaheim Ducks","Dougie Hamilton, Calgary Flames"
117,Parent,Rob,Delaware County Daily Times,"John Carlson, W ashington Capitals","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","Seth Jones, Columbus Blue Jackets","Victor Hedman, Tampa Bay Lightning"
118,Pashelka,Curtis,San Jose Mercury News,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators","Marc-Edouard Vlasic, San Jose Sharks","John Carlson, W ashington Capitals"
119,Peng,Sheng,HockeyBuzz,"Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators","Drew Doughty, Los Angeles Kings","Erik Karlsson, Ottawa Senators","John Carlson, W ashington Capitals"
120,Peters,Chris,ESPN,"Drew Doughty, Los Angeles Kings","Victor Hedman, Tampa Bay Lightning","Seth Jones, Columbus Blue Jackets","PK Subban, Nashville Predators","John Carlson, W ashington Capitals"
121,Portzline,Aaron,The Athletic,"Victor Hedman, Tampa Bay Lightning","Seth Jones, Columbus Blue Jackets","Drew Doughty, Los Angeles Kings","PK Subban, Nashville Predators","John Carlson, W ashington Capitals"
122,Poulin,Dave,TSN,"Victor Hedman, Tampa Bay Lightning","Seth Jones, Columbus Blue Jackets","Drew Doughty, Los Angeles Kings","John Carlson, W ashington Capitals","PK Subban, Nashville Predators"
123,Powers,Scott,The Athletic,"PK Subban, Nashville Predators","Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets","John Klingberg, Dallas Stars"
124,Reed,Tom,The Athletic,"Victor Hedman, Tampa Bay Lightning","Seth Jones, Columbus Blue Jackets","Drew Doughty, Los Angeles Kings","John Carlson, W ashington Capitals","PK Subban, Nashville Predators"
125,Richards,George,Columbus Dispatch,"Victor Hedman, Tampa Bay Lightning","Drew Doughty, Los Angeles Kings","Seth Jones, Columbus Blue Jackets","PK Subban, Nashville Predators","John Klingberg, Dallas Stars"
126,Rorabaugh,Seth,The Athletic,"Drew Doughty, Los Angeles Kings","John Carlson, W ashington Capitals","Seth Jones, Columbus Blue Jackets","Victor Hedman, Tampa Bay Lightning","PK Subban, Nashville Predators"
