No.,Voter Last Name,Voter First Name,Affiliation,1st Place (10 Points),2nd Place (7 Points),3rd Place (5 Points),4th Place (3 Points),5th Place (1 Point)
101,McDonald,Joe,Boston Sports Journal,"Johnny Gaudreau, Calgary Flames","Auston Matthews, Toronto Maple Leafs","Ryan O'Reilly, Buffalo Sabres","Alex DeBrincat, Chicago Blackhawks","Jared Spurgeon, Minnesota Wild"
102,McGran,Kevin,Toronto Star,"Ryan O'Reilly, Buffalo Sabres","Jaccob Slavin, Carolina Hurricanes","Kris Russell, Edmonton Oilers","Evgenii Dadonov, Florida Panthers","Alex DeBrincat, Chicago Blackhawks"
103,McGuire,Pierre,NBCSN,"Marc-Edouard Vlasic, San Jose Sharks","John Tavares, New York Islanders","Johnny Gaudreau, Calgary Flames","Ryan O'Reilly, Buffalo Sabres","Patrice Bergeron, Boston Bruins"
104,McIndoe,Sean,Sportsnet,"Ryan O'Reilly, Buffalo Sabres","William Karlsson, Vegas Golden Knights","Alex Pietrangelo, St. Louis Blues","Marc-Edouard Vlasic, San Jose Sharks","Aleksander Barkov, Florida Panthers"
105,McIntyre,Mike,Winnipeg Free Press,"Ryan O'Reilly, Buffalo Sabres","Anze Kopitar, Los Angeles Kings","Claude Giroux, Philadelphia Flyers","Jared Spurgeon, Minnesota Wild","William Karlsson, Vegas Golden Knights"
106,McKenzie,Bob,TSN,"William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Marc-Edouard Vlasic, San Jose Sharks","Ryan O'Reilly, Buffalo Sabres","Alex Pietrangelo, St. Louis Blues"
107,McKeon,Ross,San Francisco Chronicle,"William Karlsson, Vegas Golden Knights","Anze Kopitar, Los Angeles Kings","Ryan O'Reilly, Buffalo Sabres","Marc-Edouard Vlasic, San Jose Sharks","Rickard Rakell, Anaheim Ducks"
108,McLellan,Sarah,Minneapolis Star Tribune,"Ryan O'Reilly, Buffalo Sabres","William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Auston Matthews, Toronto Maple Leafs","Anze Kopitar, Los Angeles Kings"
109,Miller,Chris,Minneapolis Star Tribune,"William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Anze Kopitar, Los Angeles Kings","Johnny Gaudreau, Calgary Flames","Mikael Granlund, Minnesota Wild"
110,Miller,Gord,TSN,"Ryan O'Reilly, Buffalo Sabres","William Karlsson, Vegas Golden Knights","Morgan Rielly, Toronto Maple Leafs","Will Butcher, New Jersey Devils","Alex DeBrincat, Chicago Blackhawks"
111,Mirtle,James,The Athletic,"Jared Spurgeon, Minnesota Wild","Jaccob Slavin, Carolina Hurricanes","Marc-Edouard Vlasic, San Jose Sharks","Auston Matthews, Toronto Maple Leafs","Ryan O'Reilly, Buffalo Sabres"
112,Morganti,Al,NBC Sports Philadelphia,"Auston Matthews, Toronto Maple Leafs","Connor McDavid, Edmonton Oilers","Ryan O'Reilly, Buffalo Sabres","Jared Spurgeon, Minnesota Wild","William Karlsson, Vegas Golden Knights"
113,Morin,Richard,Arizona Republic,"Logan Couture, San Jose Sharks","Alex DeBrincat, Chicago Blackhawks","Jared Spurgeon, Minnesota Wild","Ryan O'Reilly, Buffalo Sabres","Roman Josi, Nashville Predators"
114,Morrison,Scott,Sportsnet,"William Karlsson, Vegas Golden Knights","Aleksander Barkov, Florida Panthers","Ryan O'Reilly, Buffalo Sabres","Mikael Granlund, Minnesota Wild","Alex DeBrincat, Chicago Blackhawks"
115,Oake,Scott,HNIC,"William Karlsson, Vegas Golden Knights","Alex DeBrincat, Chicago Blackhawks","Ryan O'Reilly, Buffalo Sabres","Evgenii Dadonov, Florida Panthers","Auston Matthews, Toronto Maple Leafs"
